Player_ID,Player_Name,Value
4832,"Bijan Robinson",9999
5991,"Caleb Williams",9252
2653,"Treylon Burks",8678
4214,"Breece Hall",8337
2888,"Bryce Young",8298
5993,"Marvin Harrison Jr.",7967
818,"C.J. Stroud",7696
855,"Garrett Wilson",7541
5123,"Isaiah Spiller",7330
817,"Jaxon Smith-Njigba",7040
1251,"Drake London",6933
3716,"Jahmyr Gibbs",6813
1496,"Kenneth Walker III",6792
182,"Matt Corral",6704
632,"Sam Howell",6231
31,"Jordan Addison",5858
828,"Jameson Williams",5693
5960,"Drake Maye",5647
1842,"Quentin Johnston",5612
13,"David Bell",5605
3898,"George Pickens",5394
826,"Chris Olave",5390
5705,"Brock Bowers",5033
1040,"Kyren Williams",4777
214,"Will Levis",4728
4489,"Anthony Richardson",4715
5964,"Treveyon Henderson",4646
5036,"Sean Tucker",4157
1005,"Michael Mayer",4059
2798,"John Metchie",4043
3183,"Kayshon Boutte",3908
2343,"Justyn Ross",3878
3347,"Malik Willis",3871
4263,"Zach Charbonnet",3830
3899,"Zamir White",3780
5978,"Emeka Egbuka",3705
1838,"Zach Evans",3642
12079,"Quinn Ewers",3562
654,"Josh Downs",3519
2801,"Brian Robinson Jr.",3479
188,"Jerrion Ealy",3424
3052,"Tank Bigsby",3417
5125,"Jalen Wydermyer",3345
11998,"Nicholas Singleton",3213
213,"Jahan Dotson",3062
160,"CJ Verdell",3046
4264,"Blake Corum",2873
913,"Marvin Mims",2841
6668,"Braelon Allen",2834
770,"Wan'Dale Robinson",2824
4795,"Jalin Hyatt",2787
44,"Kenny Pickett",2769
1845,"Kendre Miller",2605
5110,"Devon Achane",2576
5846,"Will Shipley",2573
6136,"Donovan Edwards",2521
6439,"Xavier Worthy",2494
1564,"Max Borghi",2448
2965,"Zay Flowers",2263
2366,"Desmond Ridder",2016
5775,"Raheim Sanders",2013
4119,"Tyler Goodson",1901
8452,"Marvin Mims Jr.",1829
3946,"Darnell Washington",1746
3870,"Kendall Milton",1718
812,"Julian Fleming",1658
3860,"Jermaine Burton",1594
1627,"Eric Gray",1589
4496,"Rakim Jarrett",1564
5111,"Demond Demas",1554
11256,"Branson Robinson",1549
2886,"Jase McClellan",1486
5067,"Parker Washington",1447
2699,"Jayden Daniels",1376
324,"Kevin Harris",1323
5808,"Ja'Corey Brooks",1283
2806,"Trey Sanders",1185
821,"Spencer Rattler",1129
2332,"Joseph Ngata",1111
5585,"Jaxson Dart",1063
897,"Jadon Haselwood",1015
33,"Israel Abanikanda",963
3235,"John Emery Jr.",955
912,"Seth McGowan",934
2712,"DeaMonte Trayanum",916
2165,"D.J. Uiagalelei",905
3620,"Cam'Ron Harris",793
3188,"Arik Gilbert",753
1067,"Sincere McCormick",727
1134,"Hendon Hooker",708
3793,"Chase Brown",678
1596,"Roschon Johnson",623
3582,"Tyler Van Dyke",601
1196,"Kedon Slovis",594
520,"Rashee Rice",533
2166,"E.J. Williams",499
4013,"Jalon Daniels",478
3901,"Kenny McIntosh",468
3393,"Javian Hawkins",456
5120,"Ainias Smith",376
281,"MarShawn Lloyd",268
1,"Andre Williams",190
1913,"DeWayne McBride",148
2329,"Frank Ladson Jr.",94
26,"TJ Sheffield",66
5,"Aydin Henningham",56
4092,"Chris Rodriguez Jr.",56
3862,"JT Daniels",40
3,"Logan Clouse",31
29,"Jack Plummer",28
43,"Vincent Davis",28
30,"Mershawn Rice",26
41,"Tank Smith",26
2,"Jaylon Barden",18
1392,"Graham Mertz",15
2973,"Phil Jurkovec",10
5339,"Ty Thompson",7
4,"Luke DelGaudio",6
15,"Payne Durham",6
19,"Garrett Miller",6
37,"Jaden Dottin",3
1497,"A.T. Perry",3
3135,"George Holani",2
6,"Lucas Krull",0
10,"Joey Yellen",0
39,"Theo Johnson",0
1659,"SaRodorick Thompson",0
3722,"Jeff Sims",0
4866,"Jalen Berger",0
2463,"Lawrance Toafili",-1
7,"Jake McConnachie",-2
18,"Amad Anderson Jr.",-2
24,"King Doerue",-2
2161,"Demarkcus Bowman",-2
