Sleeper_ID;ADP;Player_Name;Last_Month;Jan;Feb;Mar;Apr;May;Jun;Jul;Aug;Sep;Oct;Nov;Dec;All_Year
6804;121;"Jordan Love,QB";116;41;43;40;94;202;23;0;0;0;0;0;0;443
3969;122;"Leonard Fournette,RB";108;51;53;72;79;136;40;0;0;0;0;0;0;431
5890;122;"Damien Harris,RB";134;56;65;93;80;185;40;0;0;0;0;0;0;519
6845;124;"Zack Moss,RB";134;50;58;60;68;190;39;0;0;0;0;0;0;465
2197;124;"Brandin Cooks,WR";116;57;59;69;89;168;35;0;0;0;0;0;0;477
4602;124;"Robert Tonyan,TE";0;0;0;0;0;0;0;0;0;0;0;0;0;0
3214;125;"Hunter Henry,TE";65;26;40;64;66;96;21;0;0;0;0;0;0;313
3157;126;"Will Fuller,WR";118;56;42;98;87;176;34;0;0;0;0;0;0;493
2320;128;"Melvin Gordon,RB";125;64;51;107;127;179;28;0;0;0;0;0;0;556
5848;128;"Marquise Brown,WR";123;70;56;90;102;194;35;0;0;0;0;0;0;547
2251;128;"Logan Thomas,TE";94;49;51;69;72;153;24;0;0;0;0;0;0;418
138;129;"Ben Roethlisberger,QB";121;36;39;67;84;173;32;0;0;0;0;0;0;431
5038;129;"Michael Gallup,WR";147;52;70;98;104;174;52;0;0;0;0;0;0;550
4036;130;"Corey Davis,WR";131;54;52;87;103;206;29;0;0;0;0;0;0;531
1825;130;"Jarvis Landry,WR";117;49;41;62;66;145;41;0;0;0;0;0;0;404
2749;131;"Raheem Mostert,RB";115;39;31;38;85;136;33;0;0;0;0;0;0;362
6798;131;"Jalen Reagor,WR";159;97;81;139;139;252;40;0;0;0;0;0;0;748
7600;132;"Pat Freiermuth,TE";56;0;4;3;8;55;17;0;0;0;0;0;0;87
7090;134;"Darnell Mooney,WR";170;86;83;97;115;261;46;0;0;0;0;0;0;688
5967;135;"Tony Pollard,RB";118;38;50;51;74;171;29;0;0;0;0;0;0;413
4066;135;"Evan Engram,TE";95;45;36;57;55;139;30;0;0;0;0;0;0;362
7547;136;"Amon-Ra St. Brown,WR";82;0;4;8;17;86;25;0;0;0;0;0;0;140
7606;136;"Kadarius Toney,WR";94;0;1;3;3;94;24;0;0;0;0;0;0;125
6789;137;"Henry Ruggs,WR";158;75;76;96;108;206;43;0;0;0;0;0;0;604
6826;139;"Cole Kmet,TE";143;30;58;69;71;190;42;0;0;0;0;0;0;460
4137;142;"James Conner,RB";125;42;31;50;120;195;28;0;0;0;0;0;0;466
6849;142;"Denzel Mims,WR";164;94;105;113;120;227;53;0;0;0;0;0;0;712
4068;142;"Mike Williams,WR";89;34;37;54;65;134;30;0;0;0;0;0;0;354
6869;142;"Adam Trautman,TE";163;25;43;66;58;212;37;0;0;0;0;0;0;441
4144;143;"Jonnu Smith,TE";96;39;60;98;77;136;29;0;0;0;0;0;0;439
