League_ID;Name;Rosters;QB;RB;WR;TE;Flex;SFlex;BN;Total_Players;Start_Players;Taxi_Slots;Rec_Bonus;Rec_RB;Rec_WR;Rec_TE;Pass_TD;Pass_Int;Old_League_ID
784550683377532928;"12 Team SF Devy";12;1;2;2;1;3;1;14;24;10;6;6.0;0.5;0.5;0.0;0.0;-3.0;650551940425572352
784548638004219904;"Quick Fix";12;1;2;2;1;4;1;15;26;11;4;6.0;1.0;0.0;0.0;0.0;-1.0;650035599276851200
784544152879779840;"Dynasty SF 5 Flex League";12;1;1;1;1;5;1;15;25;10;4;6.0;1.0;0.8;0.0;0.0;-2.0;717473410132803584
784538522450276352;"The Best Cheap Dynasty SF 1RB";12;1;1;2;1;4;1;15;25;10;5;6.0;1.0;1.0;0.0;0.0;-1.0;713622860119252992
784526797164380160;"Dolla Dolla Bills Yall";12;1;2;2;1;2;1;14;23;9;4;6.0;2.0;0.0;0.0;0.0;-1.0;721749103175864320
784508280159461376;"Quick Fix II Dynasty";12;1;2;3;1;2;1;15;25;10;5;6.0;1.0;0.5;0.0;0.0;-1.0;650077049549053952
784506758977728512;"$10 Dynasty Dominators";12;1;2;3;1;2;1;12;22;10;5;4.0;1.0;0.0;0.0;0.0;-1.0;680978509677527040
784506711112286208;"Dino Nugget";12;1;2;3;1;3;1;14;25;11;4;4.0;1.0;0.5;0.0;0.0;-1.0;649393349656145920
784502789916266496;"$10 Ballers";12;1;2;2;1;3;1;15;25;10;4;6.0;1.0;0.5;0.0;0.0;-1.0;656353484915961856
784501142297190400;"Fresh Prince Of Helaire";12;1;2;2;1;3;1;12;22;10;5;6.0;1.0;0.5;0.0;0.0;-1.0;650041240758333440
784489905458974720;"Fantasy fans";12;1;2;3;1;3;1;15;26;11;5;5.0;1.0;0.5;0.1;0.0;-2.0;658716840440176640
784489859724328960;BoomerDamnSooner;12;1;2;3;1;3;1;12;23;11;3;4.0;1.0;0.5;0.3;0.0;-1.0;678714044441489408
784485276100771840;"Covid Johnson Porn Star $5";12;1;2;2;1;3;1;20;30;10;4;6.0;1.0;0.5;0.0;0.0;-1.0;664940485898498048
784485138196254720;"Covid Johnson Fast Food 2 $10";12;1;2;2;1;3;1;16;26;10;4;4.0;1.0;0.5;0.0;0.0;-1.0;712352454431293440
784484776873668608;"Backfield Heroes ";12;1;2;2;1;2;1;15;24;9;5;4.0;0.5;0.0;0.0;0.0;-1.0;662892091864584192
784481507984162816;"Fourth and Dab";12;1;2;2;1;3;1;14;24;10;5;6.0;1.0;0.5;0.0;0.0;-1.0;650037434528153600
784473829723525120;"Cowboys Nation";12;1;2;3;1;3;1;12;23;11;4;5.0;1.0;0.8;0.3;0.5;-2.0;718856895296770048
784465516915003392;"Sammy’s Sensational $10 Mask Mandate";12;1;2;2;1;3;1;13;23;10;4;6.0;1.0;1.0;0.0;0.0;-1.0;731690633361764352
784465483083669504;"Joe Exotic’s $10 Crazy Fingers";12;1;2;3;1;3;1;13;24;11;4;6.0;1.0;0.8;0.0;0.0;-1.0;727659934442913792
784458991303544832;"Gunslingers Dynasty";12;1;2;2;1;3;1;14;24;10;6;5.0;1.0;0.5;0.0;0.0;-1.0;718155941287100416
784458175750529024;"Tex's Taint Toupee";12;1;2;2;2;3;1;17;28;11;5;6.0;1.0;0.5;0.0;0.0;-2.0;677399937813680128
784451164640051200;"$10 idp devy league";12;1;2;2;2;3;1;36;47;11;8;6.0;1.0;0.8;0.0;0.0;-1.0;659498330325356544
784449343418675200;"NFFL Devy";12;1;2;3;1;2;1;20;30;10;10;6.0;1.0;0.8;0.0;0.3;-1.0;675179254358573056
784445938348445696;"IDP 2 TE Big Bois League";12;1;2;3;2;2;1;18;29;11;5;6.0;1.0;1.5;0.0;0.0;-2.0;682779682009079808
784441441840709632;"Dynasty Junkies III";12;1;2;3;1;1;1;15;24;9;5;4.0;0.5;1.3;0.0;0.0;-1.0;649909782144184320
784437766657314816;"Sexy time with mother-in-law $5";12;1;2;3;1;3;1;13;24;11;4;5.0;0.5;0.5;0.0;0.0;-1.0;728353915111874560
783571964127281152;"Kings Ransom $5";12;1;2;2;1;3;1;16;26;10;4;6.0;1.0;0.5;0.0;0.0;-1.0;707041615063097344
784919591833976832;"Serious Only ";14;2;3;3;1;2;1;12;24;12;3;6.0;1.0;0.0;0.0;0.0;-2.0;0
785686592076627968;"BeachBum $20 Lightning Dynasty";12;1;2;2;1;3;1;16;26;10;3;6.0;1.0;1.0;0.5;0.0;-1.0;650432303482372096
784404277627133952;"The Longest Yard";12;1;2;2;1;2;1;15;24;9;4;6.0;1.0;1.0;0.5;0.0;-1.0;770173998096105472
784870259332141056;" The Camtom Menace";14;1;2;3;1;3;1;12;23;11;5;6.0;1.0;0.5;0.0;0.0;-1.0;649838025521610752
784529452670570496;Memes;14;1;2;3;1;2;1;13;23;10;3;4.0;1.0;0.0;0.0;0.0;-1.0;754129756500398080
779010604009725952;"Big Dynasty";14;1;2;3;1;2;1;12;22;10;0;4.0;0.5;0.0;0.0;0.0;-1.0;0
774161791528927232;"2022 Dynasty League";12;1;2;2;1;2;1;16;25;9;5;4.0;1.0;0.0;0.0;0.0;-1.0;0
784474621805191168;"2 Minute Drill Dynasty";12;1;2;3;1;2;1;20;30;10;0;4.0;1.0;0.0;0.0;0.0;-2.0;650399791666257920
784490603873497088;"A League has no name";12;1;2;2;1;2;1;13;22;9;4;4.0;0.5;0.0;0.0;0.0;-2.0;650728582116659200
785589170096738304;"Gridiron Gang";12;1;2;3;1;2;1;15;25;10;5;4.0;1.0;0.0;0.0;0.0;-1.0;650073573712580608
784949419542986752;"Degenerates Dynasty Football League";12;1;2;3;1;3;1;15;26;11;4;4.0;1.0;0.5;0.0;0.0;-1.0;691848804923670528
784412437016420352;"Dynasty Apostles";12;1;2;3;1;4;1;12;24;12;5;6.0;1.0;1.0;0.0;0.0;-1.0;722261021963681792
784898220814880768;"Dynasty Warriors";12;1;2;3;1;2;1;16;26;10;4;4.0;1.0;0.0;0.0;0.0;-1.0;666715498150469632
784681477962096640;"The Boyz";12;1;2;2;1;3;1;15;25;10;4;6.0;1.0;0.5;0.0;0.0;-1.0;656006867293646848
785193141299961856;"Day Drafting ";12;1;2;3;1;3;1;11;22;11;3;4.0;1.0;0.0;0.5;0.0;-1.0;703992648695910400
784519646664613888;"Dynasty Snake league $10 ";12;1;2;2;1;1;1;19;27;8;3;6.0;1.0;0.0;0.0;0.0;-1.0;705241424853045248
784517483565580288;"A - Another One - $5 C";12;1;2;3;1;3;1;15;26;11;5;6.0;1.0;0.5;0.0;0.0;-1.0;704050135600029696
784469082891218944;"Dynasty Auction 10 dollar ";12;1;2;2;1;3;1;12;22;10;3;6.0;1.0;0.5;0.0;0.0;-1.0;704782465931210752
785415992380633088;"Dynasty for Degenerates";12;1;2;2;1;2;1;16;25;9;3;4.0;1.0;1.0;0.0;0.0;-2.0;659621424838799360
784816739895595008;"New Decade, New Dynasty ";12;1;2;2;1;2;1;12;21;9;5;6.0;1.0;0.5;0.0;0.0;-2.0;650495156117680128
784521137076969472;"Devy league 2.0";12;1;2;3;1;2;1;20;30;10;30;6.0;1.0;0.5;0.0;0.0;-2.0;650105995489542144
780121638007087104;"Fantasy Island";12;1;2;2;1;3;1;20;30;10;20;6.0;1.0;1.0;0.0;0.0;-2.5;0
784449201059835904;"IDPeep Deez Nuts ";12;1;2;3;1;1;1;30;39;9;7;6.0;1.0;0.5;0.0;0.0;-2.0;665025395615150080
784624771307589632;"League Of Sh🦈rks!";12;1;2;3;1;1;1;23;32;9;10;6.0;1.0;0.0;0.0;0.0;-1.0;650185226403799040
784558318692786176;"Fifty Buck Chuck";12;1;2;2;1;2;1;12;21;9;4;6.0;1.0;1.0;0.0;0.0;-2.0;657305740280688640
785687292861059072;"BeachBum 2020 Quarantine 2.0 $25";12;1;1;1;1;5;1;15;25;10;3;6.0;1.0;1.0;0.5;0.0;-1.0;650433731160559616
785685044000919552;"Spread those cheeks";12;1;2;3;1;2;1;14;24;10;4;6.0;1.0;0.5;0.0;0.0;-1.0;653129743763329024
785674984268972032;"Cheap $10 ";12;1;2;2;1;3;1;18;28;10;5;4.0;1.0;0.0;0.0;0.0;-1.0;0
785674433116569600;"The Champions League";12;1;2;3;1;2;1;14;24;10;5;6.0;1.0;0.0;0.0;0.0;-1.0;706912415656263680
785590237651955712;"Doge Dynasty";12;1;2;3;1;2;1;15;25;10;5;6.0;1.0;0.8;0.0;0.0;-1.0;661011233822035968
785193931917950976;"Big and Bad Dynasty";12;1;2;3;1;2;1;18;28;10;7;6.0;1.0;0.5;0.0;0.0;-1.0;673204376046764032
785053344803778560;"Full Send League";12;1;2;2;1;2;1;17;26;9;5;5.0;1.0;1.0;0.0;0.0;-1.0;650644947149623296
784936285151367168;"My Beautiful Dark twisted Dynasty. Pt 2";12;1;2;3;1;3;1;18;29;11;4;6.0;1.0;0.8;0.0;0.0;-1.0;647951703575969792
784871597407322112;"Tony Soprano's Gabagool Trophy";12;1;2;2;1;3;1;14;24;10;5;6.0;1.0;1.0;0.0;0.0;-1.0;651627416690950144
784852146867785728;"Commonwealth Divison ";14;1;2;3;1;2;1;12;22;10;5;6.0;1.0;1.0;0.0;0.0;-2.0;650564404634570752
784681623592497152;"Blood Sweat and Beers";14;1;2;3;1;2;1;15;25;10;5;4.0;1.0;0.0;0.0;0.0;-2.0;650026033491333120
784645406603751424;Wonka;12;1;2;3;2;2;1;18;29;11;6;6.0;1.0;0.5;0.0;0.0;-1.0;649924106766090240
784471254580183040;"Hard Knocks Dynasty by HBO MAX";12;1;2;2;2;3;1;15;26;11;0;4.0;1.0;0.5;0.0;0.0;-1.0;721384336573673472
784460301264375808;Amalgam;12;1;2;2;1;4;1;10;21;11;4;6.0;1.0;1.0;0.0;0.0;-1.0;650529915594166272
