tradeid;time;leagueid;items1;items2;owner1;owner2;rounds
642237674865950720;1607483926899;640991530219307008;"2021-14.04; 2021-16.04";"2021-12.03; 2021-20.03";488106768686116864;425001588902330368;30
642258477586153472;1607489499743;641792599157600256;2021-02.10;"2021-03.06; 2021-05.06";456155264849014784;440202924245643264;31
642261024006832128;1607489493429;641792599157600256;"2021-01.10; 2021-04.10";"2021-01.11; 2021-03.11";483823418840444928;440202924245643264;31
642273060388450304;1607493040607;640991530219307008;"2021-13.07; 2021-18.07";"2021-14.06; 2021-16.06";567909474095558656;584431516893880320;30
642433709714259968;1607531105236;641792599157600256;"2021-10.04; 2021-02.04; 2021-06.04";"2021-15.05; 2021-02.05; 2021-08.05";513453987284135936;432195542018170880;31
642495778014736384;1607545471798;641792599157600256;"2021-14.03; 2021-03.03; 2021-05.03";"2021-11.11; 2021-04.11; 2021-04.10";483823418840444928;394215252612354048;31
642532558445297664;1607555589239;641792599157600256;"2021-04.06; 2021-07.06";"2021-04.12; 2021-08.12";424786818701987840;456155264849014784;31
642544722866421760;1607557328455;641792599157600256;"2021-05.11; 2021-06.11";"2021-04.09; 2021-08.09";548223357306863616;483823418840444928;31
642600909087514624;1607570657841;641792599157600256;"2021-06.06; 2021-09.06";"2021-13.08; 2021-05.08";515610837643173888;456155264849014784;31
642602774877528064;1607571298854;641792599157600256;2022-01;2021-09.02;462232369793855488;440202924245643264;31
642614651846213632;1607576790358;641792599157600256;2021-09.01;2022-01;456155264849014784;433583318613618688;31
642787930900873216;1607615863671;641482954014679040;2021-19.09;2021-20.06;461858777872723968;79408456180056064;23
642849487882125312;1607638671493;641792599157600256;"2021-13.10; 2021-09.10";"2021-10.06; 2021-11.06";456155264849014784;440202924245643264;31
642889708896104448;1607639401969;641792599157600256;"2021-14.10; 2021-07.10";"2021-11.03; 2021-08.03";394215252612354048;440202924245643264;31
642891074225913856;1607639752930;641792599157600256;"2021-15.08; 2021-07.08";"2021-10.09; 2021-09.09";548223357306863616;515610837643173888;31
642932241709826048;1607649577317;641792599157600256;"2021-12.05; 2022-02; 2021-10.04";"2021-16.10; 2021-08.10";440202924245643264;513453987284135936;31
642948244611158016;1607653378016;641792599157600256;"2021-12.08; 2021-08.08";"2021-10.07; 2021-09.07";581365416757071872;515610837643173888;31
642958442004434944;1607655817141;641792599157600256;"2021-13.10; 2021-08.06";"2021-11.12; 2021-09.12";424786818701987840;456155264849014784;31
642968471793287168;1607659004930;642601281835331584;"2021-04.05; 2021-05.05";"2021-04.09; 2021-05.09";78639318352412672;310938976057823232;24
642969629400162304;1607658515720;642601281835331584;"2021-02.05; 2021-03.05";"2021-02.11; 2021-03.11";336923481042075648;310938976057823232;24
642970767558156288;1607658875761;641792599157600256;"2021-09.07; 2021-09.09; 2021-04.08; 2021-09.08; 2022-02";"2021-01.05; 2021-10.05; 2021-14.05";513453987284135936;515610837643173888;31
643139672305905664;1607699009044;641792599157600256;"2021-12.07; 2022-01";2021-09.06;515610837643173888;581365416757071872;31
643155426556321792;1607702872339;641792599157600256;"2021-10.05; 2021-14.05; 2021-14.08";"2021-17.05; 2022-03; 2021-16.10; 2021-09.08";513453987284135936;515610837643173888;31
643167303000784896;1607706384309;641482954014679040;2022-02;2021-02.09;561332770254999552;355619110668890112;5
643190489440391168;1607711300739;641792599157600256;"2021-10.07; 2021-18.08";"2021-11.12; 2021-14.06; 2022-02";456155264849014784;515610837643173888;31
643211682251915264;1607716215462;641792599157600256;"2021-10.05; 2021-13.05";"2021-11.04; 2021-15.04";432195542018170880;513453987284135936;31
643215914539520000;1607717189788;641792599157600256;"2021-10.05; 2021-13.05";"2021-11.04; 2021-15.04";513453987284135936;432195542018170880;31
643216629957730304;1607717517650;641792599157600256;"2021-11.04; 2021-13.04; 2021-15.04";"2021-10.05; 2021-14.05; 2021-18.05";513453987284135936;432195542018170880;31
643240950159736832;1607723145397;641792599157600256;"2021-11.05; 2021-16.05";"2021-14.05; 2021-12.04";432195542018170880;513453987284135936;31
643264189179174912;1607728720968;641792599157600256;"2021-05.10; 2022-04; 2021-11.06";"2021-12.09; 2021-13.09; 2022-02; 2022-03; 2021-06.11";548223357306863616;440202924245643264;31
643273900603568128;1607731074552;641792599157600256;"2021-14.04; 2021-22.04; 2022-01";"2021-17.05; 2021-11.12";515610837643173888;432195542018170880;31
643275933528195072;1607731460093;641792599157600256;2021-11.08;2021-11.12;432195542018170880;515610837643173888;31
643281532580077568;1607741450976;641792599157600256;"2021-12.06; 2021-18.06";"2021-21.07; 2021-12.08";581365416757071872;456155264849014784;31
643292331851735040;1607735446737;641792599157600256;2021-11.11;"2021-13.07; 2022-02";581365416757071872;394215252612354048;31
643340209206939648;1607746823763;643236741058207744;"2021-16.03; 2021-02.03; 2021-03.03; 2021-09.03";"2021-16.06; 2021-02.06; 2021-03.06; 2021-09.06";474002770437861376;472464022415863808;22
643350573554442240;1607749361812;641792599157600256;2021-12.08;"2021-12.10; 2021-15.10";440202924245643264;456155264849014784;31
643351546762969088;1607750048972;643236741058207744;"2021-02.03; 2021-05.06";"2021-03.02; 2021-05.02";643242031711346688;474002770437861376;22
643513161932156928;1607788634450;643236741058207744;2021-03.09;"2021-06.02; 2022-01; 2022-03";643242031711346688;178320464186589184;22
643535219592351744;1607793462676;640991530219307008;"2021-27.12; 2021-28.12";"2021-26.11; 2021-29.11";546092174298472448;385917620387606528;30
643552571134382080;1607798923646;641792599157600256;"2021-14.07; 2022-03";2021-13.07;394215252612354048;581365416757071872;31
643559051506053120;1607798972940;641792599157600256;"2021-05.09; 2021-06.09";2021-02.02;462232369793855488;548223357306863616;31
643564253986500608;1607800207911;643304708513046528;2021-01.11;"2021-02.01; 2021-06.01";537486517771354112;512364646596759552;22
643567811414835200;1607801073052;641792599157600256;"2021-21.11; 2021-22.11; 2022-01";"2021-14.07; 2021-14.10";394215252612354048;483823418840444928;31
643584282803130368;1607805493167;641792599157600256;"2021-14.09; 2021-18.09";"2021-15.10; 2021-17.06";456155264849014784;548223357306863616;31
643594581383946240;1607808465651;643570949232353280;"2021-01.01; 2021-02.01; 2021-06.01";"2021-01.09; 2021-02.09; 2021-05.09; 2022-01; 2023-01";547942163759771648;549698708074643456;28
643600872932196352;1607809056141;643570949232353280;"2021-02.09; 2022-01";"2021-01.02; 2022-02";1;549698708074643456;28
643616742861553664;1607812772123;642881605513330688;2022-01;2021-03.02;458455019826442240;437202389871620096;30
643620988298276864;1607814263925;643236741058207744;"2021-04.09; 2022-03";"2021-08.10; 2022-01; 2022-02";335943348672036864;178320464186589184;22
643628744954679296;1607815732188;643570949232353280;"2021-04.03; 2021-05.03; 2022-02";2021-02.02;1;563216080178274304;28
643647768899956736;1607820119259;642881605513330688;"2021-03.04; 2021-04.04";2021-01.12;462257441967435776;330503747216093184;30
643648659946287104;1607820322668;643236741058207744;"2021-13.11; 2021-21.11; 2021-04.11";"2021-05.06; 2021-13.02; 2021-21.02; 2022-02";643242031711346688;461384129326346240;22
643660944911745024;1607824031626;643570949232353280;2021-01.12;"2022-01; 2022-01";1;11;28
643665283436843008;1607824433962;641792599157600256;"2021-16.11; 2021-30.11; 2022-03";"2021-21.05; 2021-27.05; 2022-02";513453987284135936;483823418840444928;31
643666003284303872;1607919944804;642881605513330688;2021-01.08;"2021-03.07; 2021-05.07";571919779705741312;461295421063426048;30
643666708803977216;1607824768296;643620574253367296;"2021-01.02; 2021-02.02; 2021-08.02";"2021-01.05; 2021-02.05; 2021-08.05";438771447586877440;552287366140076032;26
643669529926410240;1607825357565;641792599157600256;"2021-16.10; 2021-24.08";"2021-16.06; 2021-22.06";456155264849014784;515610837643173888;31
643675354174681088;1607826794078;641792599157600256;"2021-17.07; 2021-18.06";"2021-20.08; 2021-16.06";515610837643173888;581365416757071872;31
643677582369325056;1607827281336;643570949232353280;2021-02.12;"2021-12.05; 2022-01; 2023-01";4;11;28
643682438995849216;1607828440332;643570949232353280;"2021-07.02; 2021-02.09";"2021-02.03; 2022-01";563216080178274304;1;28
643688073263144960;1607829765003;642881605513330688;"2021-02.09; 2021-05.09";"2021-09.12; 2022-01";462257441967435776;570189139036147712;30
643710425132793856;1607835092651;643570949232353280;"2021-04.11; 2022-01";2021-02.03;1;567216326543413248;28
643719885293195264;1607837428102;643570949232353280;"2021-03.12; 2021-04.12";"2022-01; 2022-01";1;11;28
643893132177743872;1607878688746;641822371950563328;2021-09.01;2021-08.02;567510703202758656;567424962261475328;23
643970308159909888;1607897288766;643570949232353280;"2021-01.06; 2021-02.06; 2021-04.06";"2021-04.02; 2021-03.12; 2021-04.12; 2021-04.03; 2021-04.11";1;578871025991720960;28
644032448912801792;1607911850338;642881605513330688;"2021-19.12; 2021-02.12; 2021-20.12; 2021-02.09";"2021-05.04; 2021-07.04; 2022-01; 2022-02; 2023-01; 2023-02";330503747216093184;462257441967435776;30
644033239430066176;1607912404356;643620574253367296;"2021-05.12; 2021-06.12";"2021-05.08; 2021-07.08";461627851389530112;472434530850959360;26
644035261164224512;1607912533352;643570949232353280;"2021-04.04; 2021-05.04";"2021-05.02; 2021-04.06";1;578750798511513600;28
644071389464338432;1607921126640;642881605513330688;"2021-03.01; 2021-05.01; 2022-02; 2022-03";2021-01.02;458455019826442240;220433866144346112;30
